Baja Senna (Senna purpusii),1,3,DFCF49
Sand Aloe (Aloe hereroensis),1,3,EA4337
Maiden’s Quiver Tree (Aloe ramosissima),1,3,F7C43D
Red Justicia (Justicia candicans),1,4,F13033
Desert Holly (Atriplex hymenelytra),2,4,4F0001
Bur-sage (Ambrosia deltoidea),2,5,8D8633
Giant bur-sage (Ambrosia ambrosioides),2,4,5F9C41
White bur-sage (Ambrosia dumosa),2,2,918B65
Fremont’s Wolfberry (Lycium fremontii),2,6,FF5501
Aloe ‘Cynthia Giddy’,2,3,F0C41B
Cape Aloe (Aloe  ferox),2,3,FF736F
Gariep River Aloe (Aloe gariepensis),2,5,FC8256
Aloe aculeataa,2,5,9BAF8A
Coral Aloe (Aloe striata),2,3,427729
Desert Bluebell (Phacelia campanularia),2,3,4196FF
Chia (Salvia columbariae),2,4,562ACF
Owl-clover (Castilleja exserta),2,3,E796DA
Bladderpod (Lesquerella gordonii),3,4,EEFE45
Lupines (Lupinus spp.),3,6,B01920
Baby Blue Eyes (Nemophila menziesii),3,4,81C4E9
Desert Stork’s Bill (Erodium texanum),3,5,F69FFD
Emory’s Rock Daisy (Perityle emoryi),3,5,FAFFE4
Fiddlenecks (Amsinckia spp.)  ,3,4,CE6400
Psilostrophe cooperi,5,7,D5C000
Zinnia acerosa,5,7,919586
Mirabilis jalapa,5,7,E423CD
Berlandiera lyrata,5,7,BD7A00
Mirabilis multiflora,5,7,E758D0
Datura wrigthii,5,7,C8BBB3
Gaillardia pulchella,5,8,B40F00
yerba mansa,5,7,6F6F27
Asclepias curassavica,5,6,F00000
Zephyranthes,6,8,CD186B
Oenothera speciosa,6,8,BD9EB6
Gaura lindheimeri,6,8,E0DBDA
Senna covesii,6,7,C1BD00
Glandularia pulchella,6,8,D686CD
Dicliptera resupinata,8,8,F597FB
Firecracker Penstemon,12,12,F25D5C
Justicia californica,12,12,6E996D
Baileya multiradiata,12,12,F7A000
Bulbine frutescens,12,12,E44B11